"id","treatment","CaptureMass","ReleaseMass","RecoveredMass","ChangeInMass","PercentChangeperDay","SVL","Tb","InitialMax","FinalMax","ChangeInMax","InitialMin","FinalMin","ChangeInMin","Sex","DEE","HR95","HR100","AvgDailyMovement","SumDailyMovement"
"2001","transplant",8.29,7.25,5.98,-1.27,-3.553293082,55,NA,41.4,NA,NA,8.2,7.6,-0.6,"M",91.51946647,NA,NA,NA,NA
"2002","longitudinal",7.71,7.23,8.65,1.42,1.434768551,50,NA,45.8,45.3,-0.5,5.3,4.6,-0.7,"M",161.0480486,1380.59301757812,1471.33129882812,13.082089,156.98507
"2003","control",8.33,7.35,7.31,-0.04,-0.113378685,52,34.4,43.8,46.8,3,5.2,4.1,-1.1,"F",NA,NA,NA,NA,NA
"2004","transplant",10.25,9.56,8.01,-1.55,-2.115364713,56,37.7,45.2,NA,NA,5.8,NA,NA,"F",NA,NA,NA,NA,NA
"2005","transplant",9.52,9.14,7.58,-1.56,-1.220887215,55,34.4,44,44.8,0.8,11.4,6.3,-5.1,"F",102.2494713,1599.34838867188,1996.01928710938,23.788589,309.25166
"2008","control",10.46,10.04,7.59,-2.45,-1.73794165,54,39.1,42.1,41.4,-0.7,7.1,4.8,-2.3,"F",111.9940837,70.2509765625,106.840087890625,4.697739,61.07061
"2010","longitudinal",45.4,45.18,42.94,-2.24,-0.353682861,83,33.2,42.8,43.1,0.3,13.1,9.7,-3.4,"F",NA,90.74072265625,369.791015625,11.058927,143.76605
"2011","longitudinal",9.19,8.79,7.07,-1.72,-1.396237768,57,38.1,44.8,46.2,1.4,5.6,3.3,-2.3,"F",NA,100.008544921875,122.44970703125,5.94357,77.26641
"2012","longitudinal",10.39,9.88,7.55,-2.33,-1.690200785,57,32,47.1,43.9,-3.2,3.6,5.3,1.7,"F",105.5792607,211.7294921875,287.8349609375,5.114936,66.49417
"2013","transplant",11.88,11.44,9.92,-1.52,-0.943947266,58,32.2,44.9,45.3,0.4,3.7,5.3,1.6,"F",NA,252.915283203125,485.849853515625,10.587391,137.63608
"2015","longitudinal",8.41,8,7.59,-0.41,-0.36466054,50,35.4,44.9,45.3,0.4,5,3.8,-1.2,"F",NA,195.1416015625,212.704345703125,5.499754,71.4968
"2016","transplant",8.86,8.48,6.24,-2.24,-1.873780091,52,34.7,47.2,44.7,-2.5,4.1,3.8,-0.3,"F",84.0470891,607.679443359375,672.004638671875,8.927544,116.05807
"2019","control",67.82,67.13,65.13,-2,-0.212080836,90,34.9,37.8,41.3,3.5,6.6,5.4,-1.2,"F",153.1933944,132.20849609375,590.3017578125,19.818822,257.64469
"2020","transplant",9.41,8.85,6.88,-1.97,-1.581597537,53,32.9,45.7,45.2,-0.5,5.7,7.7,2,"F",NA,769.952392578125,898.60205078125,11.616193,151.01051
"2021","transplant",52.33,51.95,29.82,-22.13,NA,83,32.8,41.9,42.9,1,4.2,2.4,-1.8,"F",NA,43.85693359375,315.2841796875,6.364279,82.73563
"2022","control",8.43,8.06,9.68,1.62,1.43246365,54,31.9,46.5,45.8,-0.7,4.1,2.7,-1.4,"F",134.7643288,194.162353515625,259.53369140625,8.790184,114.27239
"2024","control",18.18,17.27,17.06,-0.21,-0.086623791,69,31.4,45.5,44.6,-0.9,2.9,4.6,1.7,"M",NA,453.689453125,494.667724609375,8.212921,106.76797
"2028","transplant",14.58,14.24,10,-4.24,-2.1137,64,37.3,47,45.6,-1.4,9.4,8.4,-1,"F",100.7155588,1018.96752929688,1018.96752929688,13.805242,165.6629
"2033","control",9.86,9.48,8.89,-0.59,-0.442481748,55,34.4,45.5,45.3,-0.2,3.6,5.8,2.2,"F",154.2888724,216.60791015625,523.468505859375,13.180822,171.35068
"2034","transplant",19.42,18.53,14.63,-3.9,-1.503950441,65,37.1,44.7,45.5,0.8,5.8,4.1,-1.7,"M",NA,291.902587890625,321.62890625,6.228684,80.97289
"2035","control",56.57,56.33,30.11,-26.22,NA,85,34.1,44.8,46.7,1.9,9.8,4.8,-5,"F",116.3154703,100.985107421875,152.69677734375,8.042198,104.54857
